time,constant,dynamic,highly_dynamic
0,0.05461,0.0444,0.0339963
900,0.05461,0.0444,0.0339963
1800,0.05461,0.0444,0.0339963
2700,0.05461,0.0444,0.0339963
3600,0.05461,0.0444,0.0341915
4500,0.05461,0.0444,0.0341915
5400,0.05461,0.0444,0.0341915
6300,0.05461,0.0444,0.0341915
7200,0.05461,0.0444,0.0349565
8100,0.05461,0.0444,0.0349565
9000,0.05461,0.0444,0.0349565
9900,0.05461,0.0444,0.0349565
10800,0.05461,0.0444,0.0375862
11700,0.05461,0.0444,0.0375862
12600,0.05461,0.0444,0.0375862
13500,0.05461,0.0444,0.0375862
14400,0.05461,0.0444,0.0387191
15300,0.05461,0.0444,0.0387191
16200,0.05461,0.0444,0.0387191
17100,0.05461,0.0444,0.0387191
18000,0.05461,0.0444,0.0459669
18900,0.05461,0.0444,0.0459669
19800,0.05461,0.0444,0.0459669
20700,0.05461,0.0444,0.0459669
21600,0.05461,0.0444,0.0446549
22500,0.05461,0.0444,0.0446549
23400,0.05461,0.0444,0.0446549
24300,0.05461,0.0444,0.0446549
25200,0.05461,0.0444,0.0491394
26100,0.05461,0.0444,0.0491394
27000,0.05461,0.0444,0.0491394
27900,0.05461,0.0444,0.0491394
28800,0.05461,0.0444,0.0482971
29700,0.05461,0.0444,0.0482971
30600,0.05461,0.0444,0.0482971
31500,0.05461,0.0444,0.0482971
32400,0.05461,0.05413,0.0614567
33300,0.05461,0.05413,0.0614567
34200,0.05461,0.05413,0.0614567
35100,0.05461,0.05413,0.0614567
36000,0.05461,0.05413,0.061322
36900,0.05461,0.05413,0.061322
37800,0.05461,0.05413,0.061322
38700,0.05461,0.05413,0.061322
39600,0.05461,0.05413,0.0517314
40500,0.05461,0.05413,0.0517314
41400,0.05461,0.05413,0.0517314
42300,0.05461,0.05413,0.0517314
43200,0.05461,0.05413,0.0473504
44100,0.05461,0.05413,0.0473504
45000,0.05461,0.05413,0.0473504
45900,0.05461,0.05413,0.0473504
46800,0.05461,0.05413,0.0434643
47700,0.05461,0.05413,0.0434643
48600,0.05461,0.05413,0.0434643
49500,0.05461,0.05413,0.0434643
50400,0.05461,0.0888,0.0400984
51300,0.05461,0.0888,0.0400984
52200,0.05461,0.0888,0.0400984
53100,0.05461,0.0888,0.0400984
54000,0.05461,0.0888,0.0391168
54900,0.05461,0.0888,0.0391168
55800,0.05461,0.0888,0.0391168
56700,0.05461,0.0888,0.0391168
57600,0.05461,0.0888,0.0424885
58500,0.05461,0.0888,0.0424885
59400,0.05461,0.0888,0.0424885
60300,0.05461,0.0888,0.0424885
61200,0.05461,0.0888,0.0643368
62100,0.05461,0.0888,0.0643368
63000,0.05461,0.0888,0.0643368
63900,0.05461,0.0888,0.0643368
64800,0.05461,0.05413,0.0606711
65700,0.05461,0.05413,0.0606711
66600,0.05461,0.05413,0.0606711
67500,0.05461,0.05413,0.0606711
68400,0.05461,0.05413,0.0529503
69300,0.05461,0.05413,0.0529503
70200,0.05461,0.05413,0.0529503
71100,0.05461,0.05413,0.0529503
72000,0.05461,0.05413,0.0473372
72900,0.05461,0.05413,0.0473372
73800,0.05461,0.05413,0.0473372
74700,0.05461,0.05413,0.0473372
75600,0.05461,0.0444,0.0431693
76500,0.05461,0.0444,0.0431693
77400,0.05461,0.0444,0.0431693
78300,0.05461,0.0444,0.0431693
79200,0.05461,0.0444,0.0392555
80100,0.05461,0.0444,0.0392555
81000,0.05461,0.0444,0.0392555
81900,0.05461,0.0444,0.0392555
82800,0.05461,0.0444,0.0350946
83700,0.05461,0.0444,0.0350946
84600,0.05461,0.0444,0.0350946
85500,0.05461,0.0444,0.0350946
86400,0.05461,0.0444,0.0393076
87300,0.05461,0.0444,0.0393076
88200,0.05461,0.0444,0.0393076
89100,0.05461,0.0444,0.0393076
90000,0.05461,0.0444,0.0386867
90900,0.05461,0.0444,0.0386867
91800,0.05461,0.0444,0.0386867
92700,0.05461,0.0444,0.0386867
93600,0.05461,0.0444,0.0401205
94500,0.05461,0.0444,0.0401205
95400,0.05461,0.0444,0.0401205
96300,0.05461,0.0444,0.0401205
97200,0.05461,0.0444,0.0396586
98100,0.05461,0.0444,0.0396586
99000,0.05461,0.0444,0.0396586
99900,0.05461,0.0444,0.0396586
100800,0.05461,0.0444,0.0437838
101700,0.05461,0.0444,0.0437838
102600,0.05461,0.0444,0.0437838
103500,0.05461,0.0444,0.0437838
104400,0.05461,0.0444,0.046666
105300,0.05461,0.0444,0.046666
106200,0.05461,0.0444,0.046666
107100,0.05461,0.0444,0.046666
108000,0.05461,0.0444,0.0628664
108900,0.05461,0.0444,0.0628664
109800,0.05461,0.0444,0.0628664
110700,0.05461,0.0444,0.0628664
111600,0.05461,0.0444,0.06837
112500,0.05461,0.0444,0.06837
113400,0.05461,0.0444,0.06837
114300,0.05461,0.0444,0.06837
115200,0.05461,0.0444,0.0574953
116100,0.05461,0.0444,0.0574953
117000,0.05461,0.0444,0.0574953
117900,0.05461,0.0444,0.0574953
118800,0.05461,0.05413,0.054319
119700,0.05461,0.05413,0.054319
120600,0.05461,0.05413,0.054319
121500,0.05461,0.05413,0.054319
122400,0.05461,0.05413,0.0537513
123300,0.05461,0.05413,0.0537513
124200,0.05461,0.05413,0.0537513
125100,0.05461,0.05413,0.0537513
126000,0.05461,0.05413,0.0520206
126900,0.05461,0.05413,0.0520206
127800,0.05461,0.05413,0.0520206
128700,0.05461,0.05413,0.0520206
129600,0.05461,0.05413,0.0501304
130500,0.05461,0.05413,0.0501304
131400,0.05461,0.05413,0.0501304
132300,0.05461,0.05413,0.0501304
133200,0.05461,0.05413,0.0500765
134100,0.05461,0.05413,0.0500765
135000,0.05461,0.05413,0.0500765
135900,0.05461,0.05413,0.0500765
136800,0.05461,0.0888,0.0454558
137700,0.05461,0.0888,0.0454558
138600,0.05461,0.0888,0.0454558
139500,0.05461,0.0888,0.0454558
140400,0.05461,0.0888,0.0432645
141300,0.05461,0.0888,0.0432645
142200,0.05461,0.0888,0.0432645
143100,0.05461,0.0888,0.0432645
144000,0.05461,0.0888,0.0397437
144900,0.05461,0.0888,0.0397437
145800,0.05461,0.0888,0.0397437
146700,0.05461,0.0888,0.0397437
147600,0.05461,0.0888,0.0556534
148500,0.05461,0.0888,0.0556534
149400,0.05461,0.0888,0.0556534
150300,0.05461,0.0888,0.0556534
151200,0.05461,0.05413,0.0455182
152100,0.05461,0.05413,0.0455182
153000,0.05461,0.05413,0.0455182
153900,0.05461,0.05413,0.0455182
154800,0.05461,0.05413,0.0394094
155700,0.05461,0.05413,0.0394094
156600,0.05461,0.05413,0.0394094
157500,0.05461,0.05413,0.0394094
158400,0.05461,0.05413,0.0295356
159300,0.05461,0.05413,0.0295356
160200,0.05461,0.05413,0.0295356
161100,0.05461,0.05413,0.0295356
162000,0.05461,0.0444,0.0236276
162900,0.05461,0.0444,0.0236276
163800,0.05461,0.0444,0.0236276
164700,0.05461,0.0444,0.0236276
165600,0.05461,0.0444,0.0190252
166500,0.05461,0.0444,0.0190252
167400,0.05461,0.0444,0.0190252
168300,0.05461,0.0444,0.0190252
169200,0.05461,0.0444,0.0149109
170100,0.05461,0.0444,0.0149109
171000,0.05461,0.0444,0.0149109
171900,0.05461,0.0444,0.0149109
172800,0.05461,0.0444,0.0127778
173700,0.05461,0.0444,0.0127778
174600,0.05461,0.0444,0.0127778
175500,0.05461,0.0444,0.0127778
176400,0.05461,0.0444,0.009
177300,0.05461,0.0444,0.009
178200,0.05461,0.0444,0.009
179100,0.05461,0.0444,0.009
180000,0.05461,0.0444,0.0112395
180900,0.05461,0.0444,0.0112395
181800,0.05461,0.0444,0.0112395
182700,0.05461,0.0444,0.0112395
183600,0.05461,0.0444,0.0113016
184500,0.05461,0.0444,0.0113016
185400,0.05461,0.0444,0.0113016
186300,0.05461,0.0444,0.0113016
187200,0.05461,0.0444,0.0161162
188100,0.05461,0.0444,0.0161162
189000,0.05461,0.0444,0.0161162
189900,0.05461,0.0444,0.0161162
190800,0.05461,0.0444,0.0193001
191700,0.05461,0.0444,0.0193001
192600,0.05461,0.0444,0.0193001
193500,0.05461,0.0444,0.0193001
194400,0.05461,0.0444,0.0281191
195300,0.05461,0.0444,0.0281191
196200,0.05461,0.0444,0.0281191
197100,0.05461,0.0444,0.0281191
198000,0.05461,0.0444,0.0279562
198900,0.05461,0.0444,0.0279562
199800,0.05461,0.0444,0.0279562
200700,0.05461,0.0444,0.0279562
201600,0.05461,0.0444,0.0264723
202500,0.05461,0.0444,0.0264723
203400,0.05461,0.0444,0.0264723
204300,0.05461,0.0444,0.0264723
205200,0.05461,0.05413,0.0341797
206100,0.05461,0.05413,0.0341797
207000,0.05461,0.05413,0.0341797
207900,0.05461,0.05413,0.0341797
208800,0.05461,0.05413,0.0483229
209700,0.05461,0.05413,0.0483229
210600,0.05461,0.05413,0.0483229
211500,0.05461,0.05413,0.0483229
212400,0.05461,0.05413,0.0553841
213300,0.05461,0.05413,0.0553841
214200,0.05461,0.05413,0.0553841
215100,0.05461,0.05413,0.0553841
216000,0.05461,0.05413,0.0459353
216900,0.05461,0.05413,0.0459353
217800,0.05461,0.05413,0.0459353
218700,0.05461,0.05413,0.0459353
219600,0.05461,0.05413,0.0462823
220500,0.05461,0.05413,0.0462823
221400,0.05461,0.05413,0.0462823
222300,0.05461,0.05413,0.0462823
223200,0.05461,0.0888,0.0463236
224100,0.05461,0.0888,0.0463236
225000,0.05461,0.0888,0.0463236
225900,0.05461,0.0888,0.0463236
226800,0.05461,0.0888,0.048899
227700,0.05461,0.0888,0.048899
228600,0.05461,0.0888,0.048899
229500,0.05461,0.0888,0.048899
230400,0.05461,0.0888,0.0543577
231300,0.05461,0.0888,0.0543577
232200,0.05461,0.0888,0.0543577
233100,0.05461,0.0888,0.0543577
234000,0.05461,0.0888,0.0750322
234900,0.05461,0.0888,0.0750322
235800,0.05461,0.0888,0.0750322
236700,0.05461,0.0888,0.0750322
237600,0.05461,0.05413,0.0829073
238500,0.05461,0.05413,0.0829073
239400,0.05461,0.05413,0.0829073
240300,0.05461,0.05413,0.0829073
241200,0.05461,0.05413,0.0698194
242100,0.05461,0.05413,0.0698194
243000,0.05461,0.05413,0.0698194
243900,0.05461,0.05413,0.0698194
244800,0.05461,0.05413,0.0638937
245700,0.05461,0.05413,0.0638937
246600,0.05461,0.05413,0.0638937
247500,0.05461,0.05413,0.0638937
248400,0.05461,0.0444,0.0617475
249300,0.05461,0.0444,0.0617475
250200,0.05461,0.0444,0.0617475
251100,0.05461,0.0444,0.0617475
252000,0.05461,0.0444,0.0486153
252900,0.05461,0.0444,0.0486153
253800,0.05461,0.0444,0.0486153
254700,0.05461,0.0444,0.0486153
255600,0.05461,0.0444,0.0462934
256500,0.05461,0.0444,0.0462934
257400,0.05461,0.0444,0.0462934
258300,0.05461,0.0444,0.0462934
259200,0.05461,0.0444,0.0609571
260100,0.05461,0.0444,0.0609571
261000,0.05461,0.0444,0.0609571
261900,0.05461,0.0444,0.0609571
262800,0.05461,0.0444,0.0557083
263700,0.05461,0.0444,0.0557083
264600,0.05461,0.0444,0.0557083
265500,0.05461,0.0444,0.0557083
266400,0.05461,0.0444,0.0566582
267300,0.05461,0.0444,0.0566582
268200,0.05461,0.0444,0.0566582
269100,0.05461,0.0444,0.0566582
270000,0.05461,0.0444,0.0561314
270900,0.05461,0.0444,0.0561314
271800,0.05461,0.0444,0.0561314
272700,0.05461,0.0444,0.0561314
273600,0.05461,0.0444,0.0618149
274500,0.05461,0.0444,0.0618149
275400,0.05461,0.0444,0.0618149
276300,0.05461,0.0444,0.0618149
277200,0.05461,0.0444,0.0701726
278100,0.05461,0.0444,0.0701726
279000,0.05461,0.0444,0.0701726
279900,0.05461,0.0444,0.0701726
280800,0.05461,0.0444,0.0788123
281700,0.05461,0.0444,0.0788123
282600,0.05461,0.0444,0.0788123
283500,0.05461,0.0444,0.0788123
284400,0.05461,0.0444,0.0958022
285300,0.05461,0.0444,0.0958022
286200,0.05461,0.0444,0.0958022
287100,0.05461,0.0444,0.0958022
288000,0.05461,0.0444,0.0821123
288900,0.05461,0.0444,0.0821123
289800,0.05461,0.0444,0.0821123
290700,0.05461,0.0444,0.0821123
291600,0.05461,0.05413,0.0793749
292500,0.05461,0.05413,0.0793749
293400,0.05461,0.05413,0.0793749
294300,0.05461,0.05413,0.0793749
295200,0.05461,0.05413,0.0839092
296100,0.05461,0.05413,0.0839092
297000,0.05461,0.05413,0.0839092
297900,0.05461,0.05413,0.0839092
298800,0.05461,0.05413,0.0790708
299700,0.05461,0.05413,0.0790708
300600,0.05461,0.05413,0.0790708
301500,0.05461,0.05413,0.0790708
302400,0.05461,0.05413,0.0673207
303300,0.05461,0.05413,0.0673207
304200,0.05461,0.05413,0.0673207
305100,0.05461,0.05413,0.0673207
306000,0.05461,0.05413,0.0640136
306900,0.05461,0.05413,0.0640136
307800,0.05461,0.05413,0.0640136
308700,0.05461,0.05413,0.0640136
309600,0.05461,0.0888,0.0621968
310500,0.05461,0.0888,0.0621968
311400,0.05461,0.0888,0.0621968
312300,0.05461,0.0888,0.0621968
313200,0.05461,0.0888,0.0597562
314100,0.05461,0.0888,0.0597562
315000,0.05461,0.0888,0.0597562
315900,0.05461,0.0888,0.0597562
316800,0.05461,0.0888,0.0638686
317700,0.05461,0.0888,0.0638686
318600,0.05461,0.0888,0.0638686
319500,0.05461,0.0888,0.0638686
320400,0.05461,0.0888,0.0798136
321300,0.05461,0.0888,0.0798136
322200,0.05461,0.0888,0.0798136
323100,0.05461,0.0888,0.0798136
324000,0.05461,0.05413,0.0817441
324900,0.05461,0.05413,0.0817441
325800,0.05461,0.05413,0.0817441
326700,0.05461,0.05413,0.0817441
327600,0.05461,0.05413,0.0720977
328500,0.05461,0.05413,0.0720977
329400,0.05461,0.05413,0.0720977
330300,0.05461,0.05413,0.0720977
331200,0.05461,0.05413,0.0674054
332100,0.05461,0.05413,0.0674054
333000,0.05461,0.05413,0.0674054
333900,0.05461,0.05413,0.0674054
334800,0.05461,0.0444,0.0652722
335700,0.05461,0.0444,0.0652722
336600,0.05461,0.0444,0.0652722
337500,0.05461,0.0444,0.0652722
338400,0.05461,0.0444,0.0608875
339300,0.05461,0.0444,0.0608875
340200,0.05461,0.0444,0.0608875
341100,0.05461,0.0444,0.0608875
342000,0.05461,0.0444,0.0504991
342900,0.05461,0.0444,0.0504991
343800,0.05461,0.0444,0.0504991
344700,0.05461,0.0444,0.0504991
345600,0.05461,0.0444,0.0303168
346500,0.05461,0.0444,0.0303168
347400,0.05461,0.0444,0.0303168
348300,0.05461,0.0444,0.0303168
349200,0.05461,0.0444,0.0249688
350100,0.05461,0.0444,0.0249688
351000,0.05461,0.0444,0.0249688
351900,0.05461,0.0444,0.0249688
352800,0.05461,0.0444,0.0331802
353700,0.05461,0.0444,0.0331802
354600,0.05461,0.0444,0.0331802
355500,0.05461,0.0444,0.0331802
356400,0.05461,0.0444,0.03561
357300,0.05461,0.0444,0.03561
358200,0.05461,0.0444,0.03561
359100,0.05461,0.0444,0.03561
360000,0.05461,0.0444,0.0413366
360900,0.05461,0.0444,0.0413366
361800,0.05461,0.0444,0.0413366
362700,0.05461,0.0444,0.0413366
363600,0.05461,0.0444,0.0570501
364500,0.05461,0.0444,0.0570501
365400,0.05461,0.0444,0.0570501
366300,0.05461,0.0444,0.0570501
367200,0.05461,0.0444,0.0667879
368100,0.05461,0.0444,0.0667879
369000,0.05461,0.0444,0.0667879
369900,0.05461,0.0444,0.0667879
370800,0.05461,0.0444,0.0690055
371700,0.05461,0.0444,0.0690055
372600,0.05461,0.0444,0.0690055
373500,0.05461,0.0444,0.0690055
374400,0.05461,0.0444,0.0675063
375300,0.05461,0.0444,0.0675063
376200,0.05461,0.0444,0.0675063
377100,0.05461,0.0444,0.0675063
378000,0.05461,0.05413,0.0553698
378900,0.05461,0.05413,0.0553698
379800,0.05461,0.05413,0.0553698
380700,0.05461,0.05413,0.0553698
381600,0.05461,0.05413,0.0498992
382500,0.05461,0.05413,0.0498992
383400,0.05461,0.05413,0.0498992
384300,0.05461,0.05413,0.0498992
385200,0.05461,0.05413,0.04208
386100,0.05461,0.05413,0.04208
387000,0.05461,0.05413,0.04208
387900,0.05461,0.05413,0.04208
388800,0.05461,0.05413,0.0389142
389700,0.05461,0.05413,0.0389142
390600,0.05461,0.05413,0.0389142
391500,0.05461,0.05413,0.0389142
392400,0.05461,0.05413,0.0372199
393300,0.05461,0.05413,0.0372199
394200,0.05461,0.05413,0.0372199
395100,0.05461,0.05413,0.0372199
396000,0.05461,0.05413,0.0350808
396900,0.05461,0.05413,0.0350808
397800,0.05461,0.05413,0.0350808
398700,0.05461,0.05413,0.0350808
399600,0.05461,0.05413,0.0339253
400500,0.05461,0.05413,0.0339253
401400,0.05461,0.05413,0.0339253
402300,0.05461,0.05413,0.0339253
403200,0.05461,0.05413,0.033151
404100,0.05461,0.05413,0.033151
405000,0.05461,0.05413,0.033151
405900,0.05461,0.05413,0.033151
406800,0.05461,0.05413,0.0375046
407700,0.05461,0.05413,0.0375046
408600,0.05461,0.05413,0.0375046
409500,0.05461,0.05413,0.0375046
410400,0.05461,0.05413,0.0358104
411300,0.05461,0.05413,0.0358104
412200,0.05461,0.05413,0.0358104
413100,0.05461,0.05413,0.0358104
414000,0.05461,0.05413,0.0331008
414900,0.05461,0.05413,0.0331008
415800,0.05461,0.05413,0.0331008
416700,0.05461,0.05413,0.0331008
